Country	Code_WMO,,Long,Lat,Altitude,years,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
211,36870,76.93,43.23,847,1946,-5.1,-0.6,-0.6,12.4,16.7,18.8,22.5,20.4,18,13.1,-1.2,-8
211,36870,76.93,43.23,847,1947,-6,-6.2,7.2,12.7,15.6,19.1,21.6,22.5,16.5,9.5,5.2,-7.8
211,36870,76.93,43.23,847,1948,-3.5,-5.4,3,9.3,16,20.1,25.2,22.4,16.5,10.2,0.6,-6.1
211,36870,76.93,43.23,847,1949,-6.2,-2.5,0,11.2,15.8,20,22.4,22.1,14.2,7.7,-1,-6.9
211,36870,76.93,43.23,847,1950,-4.3,-5.4,3,9.3,18.8,21.7,24.6,23,16.8,8.2,-3.2,-9.1
211,36870,76.93,43.23,847,1951,-7.8,-14,-2.2,12.1,18.6,19.5,23.7,22.4,18.5,9.6,-0.4,-0.3
211,36870,76.93,43.23,847,1952,-3.6,-3.9,2.2,10.2,15.1,19.6,23.1,22.9,16.5,8.9,-6.5,-8.5
211,36870,76.93,43.23,847,1953,-5.2,-0.8,3.1,10,18.1,20.6,24.1,20.8,19.5,6.8,-2.1,-4.8
211,36870,76.93,43.23,847,1954,-7.6,-6.2,-2,10.8,14.6,17.4,21.3,22.3,16.6,11.6,-0.6,-10.6
211,36870,76.93,43.23,847,1955,-7.9,-2.9,0.9,7.6,16.4,22.7,24.1,24.2,17.7,9.3,4.3,-2
211,36870,76.93,43.23,847,1956,-9.9,-4.6,1.3,12.5,16.5,18.6,26.4,22.7,17.7,10.7,6.3,-4.7
211,36870,76.93,43.23,847,1957,-9.2,-8.2,2.9,8.1,15.3,22,22.3,21.7,17.8,9.6,0.5,-1.9
211,36870,76.93,43.23,847,1958,-5.5,0.3,4.9,9.5,13.1,18.2,23.2,20.2,16.7,9,-1.1,-2.4
211,36870,76.93,43.23,847,1959,-5.2,-5.1,0,12.6,13.9,21,21.3,22.1,20.9,10.3,-1.4,-8.3
211,36870,76.93,43.23,847,1960,-3.6,-1.9,-2.1,8.7,12.3,21,22.2,22.5,16.5,9.1,-1.7,4.8
211,36870,76.93,43.23,847,1961,-6,-4.9,3.5,13.2,19.3,20.8,23.8,22.1,17.5,6.6,1.5,-3.2
211,36870,76.93,43.23,847,1962,-6.6,-1.4,7.5,10.1,16.8,21,24.4,23.7,16.8,9.5,-2.4,-3.8
211,36870,76.93,43.23,847,1963,-2.4,0.2,5.8,7.9,16.5,21.6,23.5,21.5,15.7,10.7,3.2,-3
211,36870,76.93,43.23,847,1964,-7.5,-9.4,3,10.6,15.5,20.4,22.2,22.4,16,7.8,3.9,-7.4
211,36870,76.93,43.23,847,1965,-5.8,-5.2,2.2,12,17.8,21.5,25.3,22.1,16.3,9.8,4.3,-3.1
211,36870,76.93,43.23,847,1966,-4,-1.1,3.4,9.3,14.2,22.9,23,23.2,18.4,8.4,-1.9,-6.6
211,36870,76.93,43.23,847,1967,-7.2,-5.8,2,11.7,16.8,20.2,23,20.4,15.2,8.9,-1,-1.5
211,36870,76.93,43.23,847,1968,-3.6,-5.9,6.2,8.4,16.3,21.1,23.6,21.8,15,8.7,1.6,-6.6
211,36870,76.93,43.23,847,1969,-14.5,-14.1,0.9,10.9,15.8,20.1,23,20.4,14.7,8.7,1.9,-0.6
