Country	Code_WMO,,Long,Lat,Altitude,years,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
211,36870,76.93,43.23,847,1977,40,40.9,40.3,50.9,38.5,62.5,12.1,45.4,21.2,103,15.1,75.3
211,36870,76.93,43.23,847,1978,27,29.4,45.6,89,160.2,104.9,16.5,4.3,0,44,58.3,54.1
211,36870,76.93,43.23,847,1979,51.7,52.8,41.8,176.3,146.8,195.3,51.5,5,46.8,45.9,33.8,29.9
211,36870,76.93,43.23,847,1980,21.9,39.9,82.7,162.4,114.8,78.7,5.9,17.8,8,18,96.4,35.9
211,36870,76.93,43.23,847,1981,35.8,49.9,27.9,153.4,141.8,97.7,39.6,20.9,33.8,42,43.7,29.9
211,36870,76.93,43.23,847,1982,9.9,25.9,59.8,26.9,55.9,58.8,41.6,31.8,40.9,119.8,42.7,8.9
211,36870,76.93,43.23,847,1983,25.9,36.9,70.8,29.9,189.7,41.8,13.9,21.9,8.9,54,70.6,11
211,36870,76.93,43.23,847,1984,29.8,16.9,132.5,10,34.9,37.9,22.8,0,30.9,99.8,93.4,32.9
211,36870,76.93,43.23,847,1985,26.5,64.8,79.3,118.9,154.8,57.9,11.7,54.3,0.8,103.2,61.1,25
211,36870,,,,,,,,,,,,,,,,
211,36870,76.93,43.23,847,1987,55.5,68.7,101.2,160.8,94,94,41,1,51,55,67,43
211,36870,,,,,,,,,,,,,,,,
211,36870,76.93,43.23,847,1989,38.8,46,31.6,149,92.9,17,22.7,4.5,38.4,81.1,49.1,41.9
211,36870,76.93,43.23,847,1990,47,14,83,108,119,38,50,22,2,78,76,20
211,36870,76.93,43.23,847,1991,39,38,39,14,24,43,40,26,3,25,17,53
211,36870,76.93,43.23,847,1992,32,47,63,93,149,73,31,58,32,30,23,83
211,36870,76.93,43.23,847,1993,13,49,96,105,75,85,85,31,27,27,74,38
211,36870,76.93,43.23,847,1994,37,39,60,218,65,17,25,27,4,13,100,67
211,36870,76.93,43.23,847,1995,18,27,53,1,88,8,79,50,15,90,27,32
211,36870,76.93,43.23,847,1996,22,53,49,164,88,40,39,21,-999,65,29,32
211,36870,76.93,43.23,847,1997,50,30,42,47,167,33,22,42,1,9,72,36
211,36870,76.93,43.23,847,1998,22,47,75,129,176,85,43,25,29,25,51,79
211,36870,76.93,43.23,847,1999,43,35,98,95,84,73,101,18,43,18,71,39
211,36870,76.93,43.23,847,2000,50,55,31,36,59,59,2,34,71,145,27,33
211,36870,76.93,43.23,847,2001,31,33,77,114,30,42,31,17,15,116,51,53
211,36870,76.93,43.23,847,2002,66,47,154,-999,166,102,47,25,27,35,32,58
